p_cluster_0,p_cluster_1,p_cluster_2,p_cluster_3,p_cluster_4,p_cluster_5,document_id
9.776735330540187e-36,0.8738661167708449,0.1261338832267852,1.5834380314065276e-23,6.928053757330613e-13,1.6771934007516654e-12,b0wVZkeAh07UpaxFhe2N
3.62610738681837e-19,0.00960183469940081,0.990398165282939,8.485072575932945e-30,4.4799253005643805e-15,1.765509512437824e-11,bUrZy4P5MR8RJcPL5JK5
4.1778116438339174e-40,1.4558850160833713e-10,0.9999999998544116,3.7156106092083205e-88,6.664033422443917e-30,2.2548702789636033e-21,bVTNicL9piRYt8SfzRuO
1.920854763299249e-15,0.9673172581740721,0.03268274074401838,2.0081112245701172e-21,2.412030803672355e-11,1.0577877496196922e-09,bxQT14TF3Lr2hSASlVFH
5.197985995992946e-16,0.0008569696006238216,0.020662614874221406,4.1157713279026415e-22,2.104110680805668e-11,0.9784804155041132,bz2ePSjaUfNyjn9Xi5gd
3.465737443531079e-22,0.966404983393754,0.03359501070826638,5.649956683272167e-20,5.359477135823167e-09,5.38502151272807e-10,cF8E0XeTl1b6zTUJsL1t
4.8811335061468405e-28,2.6235678646281363e-07,0.004485667885870696,1.4680969150782108e-21,0.9955140697572005,1.4218908530420706e-13,cPEieFkm27JpUIuN3SM8
4.3780024718560846e-24,0.0005746746889012986,0.999425232673756,5.300285193590514e-29,4.2572565114363874e-11,9.259477039302721e-08,cjYTLJ6O9DJVme3zj4I1
0.9993307408497658,1.1427803431634757e-08,0.0006692476526041651,6.024208579871359e-30,1.3711699588212564e-17,6.98265783095745e-11,cpXGvYwCA0RP0JZVwotm
2.127668434754936e-18,5.360511700886267e-05,0.001820813833920514,0.9981255809819655,5.010819739195632e-13,6.660449665529483e-11,dehyWUVeA5MkfHnqL8x4
1.9336490092105833e-21,4.1449829289948436e-08,0.9992920500142148,2.0916009407178215e-41,2.7277883939642107e-13,0.0007079085356830537,eCyj5TtmecfRNIckwFvT
1.8222137723497442e-37,0.00015822792661421837,0.9998417720733858,2.625203070795516e-43,1.1091020522063442e-24,8.804522098494433e-18,eztJBrc4JaSAna2nSEXB
1.1007784801944531e-17,0.8569834374177011,0.14222082216143336,1.504800607119642e-09,5.257983865676863e-07,0.0007952131176779979,fNr5dZ9W21cFGqIO4qqt
6.738961582560887e-25,0.6871539167005073,0.31282880353381703,3.6451833607861206e-21,1.7279765549609736e-05,1.2553189832426542e-13,fVf2lGELiejOK6HTzfIa
1.1242703990094207e-23,0.0028313827322861895,0.9971676796686973,2.866820557284123e-28,7.007549696023784e-11,9.375289412210203e-07,fgftyvTFATsMh2BiZEx6
5.588554814411747e-16,2.4071039070082563e-08,0.9999999759289601,2.1713115264222433e-61,1.0458735712633444e-20,5.486977639151071e-16,gfXfBtSt0q7pDzvJQtOl
1.803660912855953e-19,0.9791629425778725,0.020830455774485696,7.903979231692662e-15,6.474600639144933e-06,1.2704699500789323e-07,giBa1UaQIHfButrMkd14
